0.001,0,0,149,503,144,144,29.8,0,0,5,1775283779,10
0.001,0,0,144,481,139,139,28.8,0,1,5,1775283779,10
0,0,0,139,459,134,134,27.8,0,2,5,1775283779,10
0,0,0,134,437,129,129,26.8,0,3,5,1775283779,10
0.001,0,0,129,415,124,124,25.8,0,4,5,1775283779,10
0,0,0,124,395,119,119,24.8,0,5,5,1775283779,10
0,0,0,119,375,114,114,23.8,0,6,5,1775283779,10
0,0,0,114,357,109,109,22.8,0,7,5,1775283779,10
0.002,0,0,109,340,104,104,21.8,0,8,5,1775283779,10
0,0,0,104,323,99,99,20.8,0,9,5,1775283779,10
0,0,0,99,306,94,94,19.8,0,10,5,1775283779,10
0.001,0,0,94,289,89,89,18.8,0,11,5,1775283779,10
0,0,0,89,272,84,84,17.8,0,12,5,1775283779,10
0,0,0,84,255,79,79,16.8,0,13,5,1775283779,10
0,0,0,79,239,74,74,15.8,0,14,5,1775283779,10
0,0,0,74,223,69,69,14.8,0,15,5,1775283779,10
0.002,0,0,69,207,64,64,13.8,0,16,5,1775283779,10
0,1,2,147,438,85,85,18,1,17,5,1775283779,10
0,1,2,150,431,80,80,17,1,18,5,1775283779,10
0,1,2,139,403,75,75,16,1,19,5,1775283779,10
0,1,2,128,375,70,70,15,1,20,5,1775283779,10
0.001,3,6,275,852,102,102,21.4,2,21,5,1775283779,10
0.001,3,6,260,813,97,97,20.4,2,22,5,1775283779,10
60.008,12595,25190,655058,2217066,-1,121,25.2,3,23,5,1775283779,10
60.013,11791,23582,589663,2004803,-1,116,24.2,3,24,5,1775283779,10
60.006,11586,23172,556236,1912007,-1,111,23.2,3,25,5,1775283779,10
60.001,11258,22516,517971,1779067,-1,106,22.2,3,26,5,1775283779,10
60.008,11889,23778,523226,1783694,-1,101,21.2,2,27,5,1775283779,10
60.007,11943,23886,501711,1696235,-1,96,20.2,2,28,5,1775283779,10
60.008,12264,24528,490660,1631425,-1,91,19.2,2,29,5,1775283779,10
60.005,11765,23530,447161,1470915,-1,86,18.2,1,30,5,1775283779,10
60.002,11535,23070,599906,1972758,-1,81,17.2,1,31,5,1775283779,10
60.001,11765,23530,588331,1965013,-1,76,16.2,1,32,5,1775283779,10
