0.001,0,0,80,262,77,77,26.6667,0,0,3,1775284653,10
0.001,0,0,77,250,74,74,25.6667,0,1,3,1775284653,10
0.001,0,0,74,238,71,71,24.6667,0,2,3,1775284653,10
0,0,0,71,226,68,68,23.6667,0,3,3,1775284653,10
0.001,0,0,68,214,65,65,22.6667,0,4,3,1775284653,10
0,0,0,65,202,62,62,21.6667,0,5,3,1775284653,10
0.001,0,0,62,190,59,59,20.6667,0,6,3,1775284653,10
0,0,0,59,180,56,56,19.6667,0,7,3,1775284653,10
0,0,0,56,170,53,53,18.6667,0,8,3,1775284653,10
0.001,0,0,53,160,50,50,17.6667,0,9,3,1775284653,10
0,0,0,50,150,47,47,16.6667,0,10,3,1775284653,10
0.001,0,0,47,140,44,44,15.6667,0,11,3,1775284653,10
0,0,0,44,130,41,41,14.6667,0,12,3,1775284653,10
0,0,0,41,120,38,38,13.6667,0,13,3,1775284653,10
0,0,0,38,111,35,35,12.6667,0,14,3,1775284653,10
0,0,0,35,102,32,32,11.6667,0,15,3,1775284653,10
0,0,0,32,93,29,29,10.6667,0,16,3,1775284653,10
0.001,1,2,112,331,52,52,18.3333,1,17,3,1775284653,10
0.001,1,2,117,332,49,49,17.3333,1,18,3,1775284653,10
0,1,2,108,311,46,46,16.3333,1,19,3,1775284653,10
0.002,1,2,108,311,46,46,16.3333,1,19,3,1775284911,10
