0.024,1,1,2079,7012,-2,1573,32.46,19,0,50,42
0.021,1,1,1817,6080,-2,1353,28.06,13,5,50,42
0.02,2,2,1686,5558,-2,1221,25.42,10,10,50,42
0.022,3,3,1578,5102,-2,1040,21.8,11,15,50,42
0.015,1,1,1200,3720,-2,970,20.4,22,20,50,42
0.013,1,1,1059,3306,-2,799,16.98,31,25,50,42
0.021,3,3,1191,3660,-2,730,15.6,35,30,50,42
0.015,1,1,1152,3554,-2,904,19.08,34,35,50,42
0.015,3,3,1353,4193,-2,919,19.38,42,40,50,42
0.014,1,1,1239,3850,-2,973,20.46,55,45,50,42
0.049,13,13,3018,9651,-2,949,20.14,64,50,50,42
0.026,4,4,1420,4444,-2,947,19.94,58,55,50,42
0.033,5,5,2086,6738,-2,1037,21.74,73,60,50,42
0.041,3,3,2266,7217,-2,1017,21.34,97,65,50,42
0.014,1,1,1219,3929,-2,923,19.46,114,70,50,42
0.028,4,4,1710,5481,-2,918,19.36,117,75,50,42
0.098,12,12,5500,17416,-2,915,19.3,115,80,50,42
0.017,1,1,1124,3564,-2,912,19.24,119,85,50,42
0.03,3,3,1533,4945,-2,931,19.62,128,90,50,42
