0.029,2,3,5017,19154,4468,4422,90.36,2,0,50,42
0.03,3,3,6740,25363,-2,4198,85.36,3,5,50,42
0.026,1,1,5350,20190,-2,4142,84.02,9,10,50,42
0.05,9,10,9729,35901,3910,3894,79.2,15,15,50,42
0.021,1,1,4585,17468,-2,3655,74.12,10,20,50,42
0.023,1,1,4879,18616,-2,3479,70.58,11,25,50,42
0.024,1,1,4574,17368,-2,3314,67.28,5,30,50,42
0.022,1,1,3630,13646,-2,3193,64.86,2,35,50,42
0.018,1,1,4279,16261,-2,3023,61.54,3,40,50,42
0.031,3,3,4881,18576,-2,2774,56.56,3,45,50,42
0.02,1,1,3538,13307,-2,2604,53.12,1,50,50,42
0.023,1,1,3375,12616,-2,2502,51.12,2,55,50,42
0.019,1,1,3216,11983,-2,2618,53.48,2,60,50,42
0.018,1,2,2632,9835,2525,2521,51.5,1,65,50,42
0.017,0,1,2364,8832,2314,2312,47.28,0,70,50,42
0.015,1,1,2609,9628,-2,2155,44.2,1,75,50,42
0.018,1,1,2944,10890,-2,2176,44.68,1,80,50,42
0.018,1,1,2506,9314,-2,2061,42.34,3,85,50,42
0.018,1,1,2324,8561,-2,1944,40.04,5,90,50,42
0.018,1,1,2969,10952,-2,2025,41.58,4,95,50,42
